@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
504,'2019/09/19 21:52:15:357',2,-14211570,-14211569,-14146033,-13817072,-13685487,-13685487,-13816815,-13882863,-14013935,-14211569,-13027293,-11380917,-11249586,-11774646,-12103615,-12564942,-13092058,-13421280,-13289697,-13487591,-9078148,-7366494,-7365725,-7824993,-7495772,-7495004,-7891562,-7891563,-8614771,-9140086,-8222571,-7760483,-7364443,-7035477,-6773340,-7432300,-6313824,-6906476,-7496299,-7955563,-7301732,-7694693,-7564135,-6115924,-6643039,-5656147,-5852242,-6179667,-6442323,-7231582,-6054753,-7631475,-7828080,-6445915,-6380638,-5064778,-5457997,-5851215,-6574680,-7693160,-8554661,-9935532,-10132134,-8158852,-7501437,-7370109,-7500406,-6514542,-6775146,-7430499,-11450076,-12699880,-13226219,-8688283,-6908780,-7171438,-6510682,-6378326,-7166815,-7691869,-13094379,-13291757,-13620720,-14081009,-12240612,-11843789,-11973315,-10855354,-10394289,-9411756,-13686258,-13752306,-13094639,-12765934,-12372206,-13489650,-14343669,-12896749,-11518181,-10669527,1
505,'2019/09/19 21:52:15:404',2,-14211568,-14211312,-14211311,-13882351,-13685230,-13685230,-13816558,-13882606,-14013934,-14211312,-11776192,-9668748,-9734539,-10259086,-10917790,-11444653,-12300737,-12367301,-12564682,-13026008,-8550255,-7825761,-7956577,-7890274,-7759204,-7891565,-7234919,-7628390,-8285035,-8942449,-8813940,-8220521,-7759972,-6970457,-7036769,-6509912,-6379102,-7102055,-7363171,-7888998,-6249303,-8089967,-7563620,-6313044,-6379352,-5655376,-5982801,-6113101,-6639187,-7692133,-7764600,-7630187,-7563878,-6247765,-6182231,-5196107,-5523276,-6049621,-6969952,-7955817,-7370661,-11120592,-11646666,-7963273,-7896967,-7897223,-7434871,-6645615,-6905444,-7363416,-11515612,-12765416,-13291754,-10200239,-8619142,-7563884,-6574933,-6705749,-7362907,-8481901,-13159915,-13357295,-13620721,-14146803,-12832494,-13358063,-13817581,-12568035,-12041691,-9876171,-13751794,-13817843,-13160175,-12897262,-12437998,-13555187,-14409460,-12962540,-11583718,-10800855,1
506,'2019/09/19 21:52:15:439',2,-14145774,-14145517,-14079980,-13751275,-13685227,-13685227,-13816811,-13882348,-13948396,-14211311,-10064274,-8549740,-8877676,-9204591,-10061444,-10785432,-11511213,-11642800,-11905974,-12696265,-8615011,-8022107,-8351074,-7693405,-7957094,-7629675,-6840414,-7694180,-8087394,-8876396,-9010803,-8418411,-7628894,-6904662,-7037535,-5984078,-6575962,-6903386,-7231321,-7889249,-7368039,-8352877,-7497566,-6840156,-5984591,-5721165,-5916745,-6047816,-6902868,-8152935,-5329234,-7696495,-7301216,-6248016,-5919823,-5393737,-5721164,-6181974,-7299425,-7955294,-7238815,-11384023,-11450315,-7371387,-7897218,-7896448,-7039851,-6578789,-6838101,-7625297,-11515353,-12699877,-13225960,-11778245,-10066334,-8879489,-7958130,-7891053,-8547953,-9997717,-13159913,-13357293,-13620719,-14212338,-12898285,-13424111,-14080495,-12831208,-12503014,-9942219,-13686256,-13817586,-13225711,-12831725,-12503533,-13620977,-14409716,-12962796,-11583972,-10866389,1
507,'2019/09/19 21:52:15:472',2,-14013930,-13947880,-14079723,-13751018,-13619434,-13685227,-13816555,-13882346,-13948140,-14211310,-8813165,-8285791,-8481371,-8875363,-9534585,-10457235,-10919072,-11116195,-11577006,-12564935,-8680031,-8152920,-8351329,-7628125,-8023914,-6906721,-6906204,-7628128,-8087135,-8810600,-8878701,-8484716,-7233878,-7037019,-6445397,-5984078,-6575189,-6639953,-7165783,-8021090,-7762796,-8287595,-7037271,-6840923,-5458759,-5720648,-5850693,-6179656,-7363673,-8482153,-3355192,-7499893,-7367783,-6841952,-5987413,-5722699,-5722704,-6379352,-7364187,-7954261,-6975898,-11121107,-9477287,-6712937,-7567991,-7303022,-6578528,-6642780,-6902862,-8149583,-11449559,-12699619,-13226216,-12502227,-10789804,-9669779,-9011593,-8681601,-9865874,-11053240,-13159656,-13291499,-13620718,-14212338,-12898285,-13489647,-14080496,-12897000,-12503014,-9942217,-13686255,-13817585,-13160173,-12897260,-12503531,-13620978,-14409460,-12897259,-11518435,-10931922,1
508,'2019/09/19 21:52:15:506',2,-14013930,-13947880,-14079723,-13751018,-13619434,-13685227,-13816555,-13882346,-13948140,-14211310,-8813165,-8285791,-8481371,-8875363,-9534585,-10457235,-10919072,-11116195,-11577006,-12564935,-8680031,-8152920,-8351329,-7628125,-8023914,-6906721,-6906204,-7628128,-8087135,-8810600,-8878701,-8484716,-7233878,-7037019,-6445397,-5984078,-6575189,-6639953,-7165783,-8021090,-7762796,-8287595,-7037271,-6840923,-5458759,-5720648,-5850693,-6179656,-7363673,-8482153,-3355192,-7499893,-7367783,-6841952,-5987413,-5722699,-5722704,-6379352,-7364187,-7954261,-6975898,-11121107,-9477287,-6712937,-7567991,-7303022,-6578528,-6642780,-6902862,-8149583,-11449559,-12699619,-13226216,-12502227,-10789804,-9669779,-9011593,-8681601,-9865874,-11053240,-13159656,-13291499,-13620718,-14212338,-12898285,-13489647,-14080496,-12897000,-12503014,-9942217,-13686255,-13817585,-13160173,-12897260,-12503531,-13620978,-14409460,-12897259,-11518435,-10931922,1
509,'2019/09/19 21:52:15:539',2,-13684707,-13816037,-14013674,-13750764,-13619435,-13619692,-13816556,-13816812,-13948141,-14211311,-8746859,-8482401,-8414042,-8941673,-9534588,-10392216,-10590108,-10918561,-11708851,-12762574,-8547935,-8350302,-8087904,-7759715,-7695211,-6577759,-7168609,-7495260,-8152416,-8942191,-8878189,-8287082,-6970455,-7103328,-5853006,-6115153,-6377298,-6573907,-7231579,-8152680,-7762282,-8024425,-6840154,-6445912,-5392969,-5654344,-5850694,-6508367,-7758436,-8678763,-2565423,-7302263,-7105131,-6974569,-6185308,-5920339,-5854808,-6642267,-7297109,-8018258,-6844057,-10857936,-7831943,-6777446,-7303023,-6577758,-6445917,-6509394,-7361616,-8675417,-11318232,-12568292,-13225962,-12830938,-11184053,-10262693,-9670044,-9471894,-10986166,-11779287,-13093864,-13291499,-13620718,-14212339,-12832750,-13489648,-14080753,-12897003,-12437480,-9811147,-13686256,-13817585,-13160174,-12897005,-12503532,-13620978,-14409717,-12962796,-11518437,-10997459,1
510,'2019/09/19 21:52:15:572',2,-13684450,-13881830,-14079467,-13816555,-13619436,-13685227,-13751019,-13882348,-13948396,-14211311,-8812395,-8744287,-8545627,-9073774,-9864838,-10327193,-10589852,-11050404,-12038331,-13157592,-8481630,-8613728,-7693404,-7892328,-6972003,-6643035,-7167837,-7429208,-8152672,-9139827,-8878446,-7760479,-7036505,-6708825,-5721163,-6180689,-6179917,-6574163,-7428957,-8284264,-7827817,-7563873,-6906461,-5787982,-5392968,-5653829,-5916743,-6903639,-8021349,-8611683,-2302251,-6907764,-6908521,-6909546,-6316894,-5986647,-6051674,-6641236,-7296078,-8214605,-6778263,-9805498,-7370358,-6777186,-6709342,-6182227,-6247508,-6639692,-7951953,-9400685,-11318231,-12568292,-13225960,-12765145,-11513533,-10789554,-9999524,-10525870,-11777487,-12043492,-13093864,-13225962,-13555183,-14146802,-12898287,-13489649,-14146289,-12962795,-12437224,-9811402,-13686000,-13752049,-13159918,-12831469,-12503277,-13621234,-14475252,-12962796,-11518692,-11062994,1
511,'2019/09/19 21:52:15:606',2,-13816550,-14013930,-14079724,-13751020,-13619691,-13619690,-13751019,-13882348,-14013933,-14211567,-8877671,-8809310,-9006951,-9468792,-10195091,-10392986,-10721181,-11445934,-12499143,-13421537,-8613214,-8482400,-7693662,-7761000,-6446428,-6839899,-6969429,-7494742,-8218724,-9534587,-8878701,-7364952,-7234396,-6116433,-5786700,-6114638,-6179660,-6705748,-7561056,-8416106,-8024939,-7168859,-6840925,-5327688,-5457733,-5653827,-6245708,-7298139,-8151904,-8480094,-2302250,-6381675,-7040621,-6778218,-6513759,-5921883,-6182228,-6639692,-7426121,-8740177,-6712726,-8753057,-7369583,-6776415,-5918796,-5984591,-6180428,-7164236,-8676449,-10389903,-11252439,-12568035,-13160424,-12699095,-11908806,-11184571,-10526127,-11645642,-12304865,-11978214,-13093864,-13225963,-13620463,-14146802,-12898286,-13489649,-14146289,-12962795,-12371689,-9811401,-13620464,-13752049,-13159917,-12897005,-12503533,-13686771,-14475254,-12962796,-11453157,-11128529,1
512,'2019/09/19 21:52:15:639',2,-14014187,-14079980,-14079981,-13751277,-13619691,-13685228,-13751020,-13882349,-13948397,-14211568,-9140328,-8875362,-9336946,-9930630,-10327450,-10392986,-10722209,-11709622,-12763089,-13619432,-8876899,-8153438,-7826275,-7104356,-6249304,-6773850,-6903377,-7429719,-8350825,-10062219,-8549992,-7168086,-7038045,-5656138,-5852493,-5917258,-6180174,-6837848,-7627106,-8613995,-7893352,-6906457,-6315094,-5196871,-5326147,-5785669,-6575443,-7429723,-7954007,-8611424,-2170921,-5922148,-7107184,-6712936,-6251359,-5855834,-6115405,-6507591,-7754056,-9662309,-6647189,-8226190,-7237995,-6380372,-5589829,-5918284,-6377034,-7953497,-9731971,-11446720,-11252438,-12502499,-13160168,-12962525,-12370131,-11514053,-11514311,-12568290,-12436710,-11912935,-13028329,-13225963,-13554926,-14146802,-12898287,-13489905,-14081010,-12897516,-12306152,-9745864,-13620719,-13752049,-13160173,-12831725,-12503533,-13687027,-14475510,-12962797,-11387621,-10997458,1
513,'2019/09/19 21:52:15:673',2,-14014187,-14079980,-14079981,-13751277,-13619691,-13685228,-13751020,-13882349,-13948397,-14211568,-9140328,-8875362,-9336946,-9930630,-10327450,-10392986,-10722209,-11709622,-12763089,-13619432,-8876899,-8153438,-7826275,-7104356,-6249304,-6773850,-6903377,-7429719,-8350825,-10062219,-8549992,-7168086,-7038045,-5656138,-5852493,-5917258,-6180174,-6837848,-7627106,-8613995,-7893352,-6906457,-6315094,-5196871,-5326147,-5785669,-6575443,-7429723,-7954007,-8611424,-2170921,-5922148,-7107184,-6712936,-6251359,-5855834,-6115405,-6507591,-7754056,-9662309,-6647189,-8226190,-7237995,-6380372,-5589829,-5918284,-6377034,-7953497,-9731971,-11446720,-11252438,-12502499,-13160168,-12962525,-12370131,-11514053,-11514311,-12568290,-12436710,-11912935,-13028329,-13225963,-13554926,-14146802,-12898287,-13489905,-14081010,-12897516,-12306152,-9745864,-13620719,-13752049,-13160173,-12831725,-12503533,-13687027,-14475510,-12962797,-11387621,-10997458,1
514,'2019/09/19 21:52:15:706',2,-14145260,-14079981,-14079982,-13751021,-13619437,-13685229,-13816556,-13947885,-14014190,-14211568,-9402219,-9270122,-9534330,-10194833,-10195608,-10260888,-10985383,-12038590,-13092058,-13685226,-9074279,-7956575,-7958121,-6643552,-6511449,-6706773,-6968915,-7561053,-8679538,-10918047,-8220515,-7365468,-6643290,-5721419,-5851980,-5917002,-6311762,-7166814,-7824228,-9074033,-7498083,-6971998,-5788753,-5327430,-5522756,-6114636,-7034968,-7559510,-8018774,-9202535,-1907748,-5790564,-7041908,-6778218,-6185313,-5985363,-6179655,-6900293,-8477009,-10584963,-6581136,-8225420,-7434348,-6049868,-5786183,-6114379,-7362389,-9731199,-10984364,-12041696,-11252183,-12502500,-13160169,-13489128,-13093858,-12106962,-12568034,-12897001,-12437223,-11781864,-13028328,-13225707,-13554928,-14212339,-12898287,-13489906,-14146547,-12963053,-12306153,-9811145,-13686000,-13752050,-13159918,-12831725,-12503533,-13752564,-14475766,-12963053,-11387622,-11062994,1
